# Codepoint	Character	Name	SVG file	CSS class
U+EA4F		Watchman	Watchman.svg	watchman-icon
U+EAB1		WDL	WDL.svg	wdl-icon
U+EA70		WebAssembly	WebAssembly.svg	wasm-icon
U+EA7B		WebGL	WebGL.svg	webgl-icon
U+EB35		Webhint	Webhint.svg	webhint-icon
U+EA61		Webpack	Webpack.svg	webpack-icon
U+E91E		Webpack, Old	Webpack-Old.svg	
U+EB24		WebVTT	WebVTT.svg	webvtt-icon
U+8A00	言	Wenyan	Wenyan.svg	wenyan-icon
U+EA19		Wercker	Wercker.svg	wercker-icon
U+EB38		Wget	Wget.svg	wget-icon
U+1F4A8	💨	Windi CSS	Windi.svg	windi-icon
U+1F377	🍷	Wine	Wine.svg	wine-icon
U+EBB7		WinUI	WinUI.svg	winui-icon
U+EAB0		WiX	WiX.svg	wix-icon
U+1F43A	🐺	Wolfram	Wolfram.svg	wolfram-icon
U+EAA8		Workbox	Workbox.svg	workbox-icon
U+1F32D	🌭	Wurst	Wurst.svg	wurst-icon
U+2169	Ⅹ	X10	X10.svg	x10-icon
U+EA77		Xamarin	Xamarin.svg	xamarin-icon
U+EB94		xmake	xmake.svg	xmake-icon
U+0058	X	XMOS	XMOS.svg	xmos-icon
U+E9C5		XPages	XPages.svg	xpages-icon
U+E9C6		Xtend	Xtend.svg	xtend-icon
U+EB04		Xubuntu	Xubuntu.svg	
U+0079	y	YAML	YAML.svg	yaml-icon
U+0059	Y	YAML, Alt 1	YAML-Alt1.svg	
U+EA9E		YAML, Alt 2	YAML-Alt2.svg	
U+EA9D		YAML, Alt 3	YAML-Alt3.svg	
U+EA9C		YAML, Alt 4	YAML-Alt4.svg	
U+EB9D		YAMLLint	YAMLLint.svg	yamllint-icon
U+042F	Я	Yandex	Yandex.svg	yandex-icon
U+262F	☯	YANG	YANG.svg	yang-icon
U+EA9F		YARA	YARA.svg	yara-icon
U+EA1A		Yarn	Yarn.svg	yarn-icon
U+EA73		Yasm	Yasm.svg	
U+1F480	💀	Yorick	Yorick.svg	yorick-icon
U+EA00		YUI	YUI.svg	yui-icon
U+E9F2		ZBrush	ZBrush.svg	zbrush-icon
U+25B2	▲	Zeit	Zeit.svg	zeit-icon
U+E9C7		Zephir	Zephir.svg	zephir-icon
U+007A	z	Zig	Zig.svg	zig-icon
U+EB56		Zilog	Zilog.svg	
U+E9C8		Zimpl	Zimpl.svg	zimpl-icon
U+EB01		ZorinOS	ZorinOS.svg	
U+01B6	ƶ	Zork	Zork.svg	zork-icon
